Timestamp,OAT (F),Power (kW)
2010-06-05 03:45:00,64,195.9
2010-06-05 04:00:00,64,210.5
2010-06-05 04:15:00,64,204.6
2010-06-05 04:30:00,64,207.9
2010-06-05 04:45:00,64,203.3
2010-06-05 05:00:00,64,209.9
2010-06-05 05:15:00,64,201.8
2010-06-05 05:30:00,64,205.2
2010-06-05 05:45:00,64,210.3
2010-06-05 06:00:00,64,185.8
2010-06-05 06:15:00,64,216.2
2010-06-05 06:30:00,64,193.1
2010-06-05 06:45:00,64,194.6
2010-06-05 07:00:00,64,199.1
2010-06-05 07:15:00,64,183.5
2010-06-05 07:30:00,64,213.3
2010-06-05 07:45:00,64,204.4
2010-06-05 08:00:00,64,224.6
2010-06-05 08:15:00,66,320.0
2010-06-05 08:30:00,66,334.1
2010-06-05 08:45:00,66,324.2
2010-06-05 09:00:00,66,330.5
2010-06-05 09:15:00,68,343.8
2010-06-05 09:30:00,68,331.1
2010-06-05 09:45:00,68,315.2
2010-06-05 10:00:00,68,332.9
2010-06-05 10:15:00,71,347.0
2010-06-05 10:30:00,71,353.2
2010-06-05 10:45:00,71,342.1
2010-06-05 11:00:00,71,354.5
2010-06-05 11:15:00,74,360.9
2010-06-05 11:30:00,74,356.5
2010-06-05 11:45:00,74,375.2
2010-06-05 12:00:00,74,377.0
2010-06-05 12:15:00,76,360.5
2010-06-05 12:30:00,76,370.5
2010-06-05 12:45:00,76,373.8
2010-06-05 13:00:00,76,385.8
2010-06-05 13:15:00,77,395.8
2010-06-05 13:30:00,77,385.5
2010-06-05 13:45:00,77,389.0
2010-06-05 14:00:00,77,373.2
2010-06-05 14:15:00,79,375.6
2010-06-05 14:30:00,79,403.2
2010-06-05 14:45:00,79,386.2
2010-06-05 15:00:00,79,388.6
2010-06-05 15:15:00,80,390.6
2010-06-05 15:30:00,80,396.2
2010-06-05 15:45:00,80,389.6
2010-06-05 16:00:00,80,391.7
2010-06-05 16:15:00,79,373.6
2010-06-05 16:30:00,79,376.7
2010-06-05 16:45:00,79,385.2
2010-06-05 17:00:00,79,358.9
2010-06-05 17:15:00,76,354.1
2010-06-05 17:30:00,76,384.4
2010-06-05 17:45:00,76,347.1
2010-06-05 18:00:00,76,374.7
2010-06-05 18:15:00,76,369.9
2010-06-05 18:30:00,76,337.3
2010-06-05 18:45:00,76,357.4
2010-06-05 19:00:00,76,343.3
2010-06-05 19:15:00,73,370.0
2010-06-05 19:30:00,73,350.3
2010-06-05 19:45:00,73,338.5
2010-06-05 20:00:00,73,360.3
2010-06-05 20:15:00,71,331.9
2010-06-05 20:30:00,71,395.0
2010-06-05 20:45:00,71,373.4
2010-06-05 21:00:00,71,381.4
2010-06-05 21:15:00,69,391.0
2010-06-05 21:30:00,69,362.9
2010-06-05 21:45:00,69,388.1
2010-06-05 22:00:00,69,364.0
2010-06-05 22:15:00,67,363.7
